,date,retweets,favorites,label,text
55054,05/08/19 4:27,0,0,1,8chan had nothing to do with the attacks and you know it. Welcome to the wrong side of history! Population: +(You) #QAnon @realDonaldTrump @NSAGov
30532,03/08/19 19:19,0,3,3,White supremacists have declared war against the people of the United States. They will not stop until they secure a ’_’_’Œwhite homeland’_’_Îù’_’_’Â they feel especially embolden by a president who is beyond sympathetic to their cause... #ElPaso
65975,05/08/19 1:33,0,0,3,"Cloudflare Says It Won't Ban 8chan, a Hotbed for Terrorist Manifestos https://www.vice.com/en_us/article/ne8jdb/cloudflare-wont-ban-8chan-after-el-paso-terrorist-attack?utm_campaign=sharebutton ’_’__ via @vice"
8581,03/08/19 22:41,0,0,2,2A dates back to the time when young America had to be afraid of the Brits and there were no automatic assault rifles to shoot sparrows. US: 120.5 firearms per 100 people= #1 Yemen: 52 firearms per 100 people= #2 #GunEpidemic #GunControl #NRABloodMoney
3572,03/08/19 23:33,0,3,2,Only fact that matters is already clear. Yet another guy with an assault weapon killed people going about their daily life. Senate is allowing this domestic terrorism. @SensteMajLdr @SenSchumer #BackgroundChecks #BanAssaultWeapons
20955,03/08/19 20:53,0,0,2,Where were the good guys with guns? They kinda missed their chance to prove your point. #EndGunViolence #GunControlNow
18590,03/08/19 21:13,0,0,1,Research BEFORE you tweet. #2A pic.twitter.com/viht1E8KA4
22648,03/08/19 20:37,0,0,3,Can't wait for these thoughts and prayers to finally kick in #ElPaso
13264,03/08/19 21:57,0,0,3,@FoxNews Here is some education on #psychopathy not a #mentalillness . Most #massshooting are due to psychopathic behavior. https://www.psychologytoday.com/us/basics/psychopathy ’_’__ #ElPaso #massshooting @SchmittNYC
43866,05/08/19 11:25,0,0,2,*this type of response* DNC candidates jumped on the blame game within minutes- then jumped on any one even associated with the right that wouldn't subscribe to #GunControlNow .
59338,05/08/19 3:05,0,1,2,"All I mean is that these are not random acts that can't be curtailed by any means short of repealing the 2A. Also, it pisses me off to no end that the conversation in media revolves around scary military style weapons, even though handguns are used in over 90% of gun deaths."
