date,retweets,favorites,label,text,clean_text
05/08/19 4:27,0,0,1,8chan had nothing to do with the attacks and you know it. Welcome to the wrong side of history! Population: +(You) #QAnon @realDonaldTrump @NSAGov,"['8chan', 'nothing', 'attacks', 'know', 'welcome', 'wrong', 'side', 'history', 'population', 'qanon', 'realdonaldtrump', 'nsagov']"
03/08/19 19:19,0,3,3,White supremacists have declared war against the people of the United States. They will not stop until they secure a Õ_Õ_ÕÎwhite homelandÕ_Õ_ëÕ_Õ_Õå they feel especially embolden by a president who is beyond sympathetic to their cause... #ElPaso,"['white', 'supremacists', 'declared', 'war', 'people', 'united', 'states', 'not', 'stop', 'secure', 'white', 'homeland', 'feel', 'especially', 'embolden', 'president', 'beyond', 'sympathetic', 'cause', 'elpaso']"
05/08/19 1:33,0,0,3,"Cloudflare Says It Won't Ban 8chan, a Hotbed for Terrorist Manifestos https://www.vice.com/en_us/article/ne8jdb/cloudflare-wont-ban-8chan-after-el-paso-terrorist-attack?utm_campaign=sharebutton Õ_Õ__ via @vice","['cloudflare', 'says', 'wont', 'ban', '8chan', 'hotbed', 'terrorist', 'manifestos', 'via', 'vice']"
03/08/19 22:41,0,0,2,2A dates back to the time when young America had to be afraid of the Brits and there were no automatic assault rifles to shoot sparrows. US: 120.5 firearms per 100 people= #1 Yemen: 52 firearms per 100 people= #2 #GunEpidemic #GunControl #NRABloodMoney,"['2a', 'dates', 'back', 'time', 'young', 'america', 'afraid', 'brits', 'no', 'automatic', 'assault', 'rifles', 'shoot', 'sparrows', 'us', '1205', 'firearms', 'per', '100', 'people', '1', 'yemen', '52', 'firearms', 'per', '100', 'people', '2', 'gunepidemic', 'guncontrol', 'nrabloodmoney']"
03/08/19 23:33,0,3,2,Only fact that matters is already clear. Yet another guy with an assault weapon killed people going about their daily life. Senate is allowing this domestic terrorism. @SensteMajLdr @SenSchumer #BackgroundChecks #BanAssaultWeapons,"['fact', 'matters', 'already', 'clear', 'yet', 'another', 'guy', 'assault', 'weapon', 'killed', 'people', 'going', 'daily', 'life', 'senate', 'allowing', 'domestic', 'terrorism', 'senstemajldr', 'senschumer', 'backgroundchecks', 'banassaultweapons']"
03/08/19 20:53,0,0,2,Where were the good guys with guns? They kinda missed their chance to prove your point. #EndGunViolence #GunControlNow,"['good', 'guys', 'guns', 'kinda', 'missed', 'chance', 'prove', 'point', 'endgunviolence', 'guncontrolnow']"
03/08/19 21:13,0,0,1,Research BEFORE you tweet. #2A pic.twitter.com/viht1E8KA4,"['research', 'tweet', '2a', 'pictwittercomviht1e8ka4']"
03/08/19 20:37,0,0,3,Can't wait for these thoughts and prayers to finally kick in #ElPaso,"['cant', 'wait', 'thoughts', 'prayers', 'finally', 'kick', 'elpaso']"
03/08/19 21:57,0,0,3,@FoxNews Here is some education on #psychopathy not a #mentalillness . Most #massshooting are due to psychopathic behavior. https://www.psychologytoday.com/us/basics/psychopathy Õ_Õ__ #ElPaso #massshooting @SchmittNYC,"['foxnews', 'education', 'psychopathy', 'not', 'mentalillness', 'massshooting', 'due', 'psychopathic', 'behavior', 'elpaso', 'massshooting', 'schmittnyc']"
05/08/19 11:25,0,0,2,*this type of response* DNC candidates jumped on the blame game within minutes- then jumped on any one even associated with the right that wouldn't subscribe to #GunControlNow .,"['type', 'response', 'dnc', 'candidates', 'jumped', 'blame', 'game', 'within', 'minutes', 'jumped', 'one', 'even', 'associated', 'right', 'wouldnt', 'subscribe', 'guncontrolnow']"
